,Architecture,Source Dataset,Target Dataset,Oracle
183,sqnxt23_w1,Unknown,yoga,0.935560859188544
184,sqnxt23_w2,Unknown,yoga,0.9665871121718376
185,shufflenet_g1_w1,Unknown,yoga,0.9451073985680192
186,shufflenet_g4_w1,Unknown,yoga,0.9307875894988068
187,menet108_8x1_g3,Unknown,yoga,0.9474940334128878
188,menet160_8x1_g8,Unknown,yoga,0.935560859188544
189,mobilenet_w1,Unknown,yoga,0.9570405727923628
190,mobilenet_w3d4,Unknown,yoga,0.9498806682577564
191,fdmobilenet_w1,Unknown,yoga,0.9379474940334128
192,igcv3_w1,Unknown,yoga,0.9689737470167064
193,igcv3_wd4,Unknown,yoga,0.9522673031026252
194,mnasnet_b1,Unknown,yoga,0.9427207637231504
195,darts,Unknown,yoga,0.964200477326969
196,proxylessnas_gpu,Unknown,yoga,0.9713603818615753
197,fbnet_cb,Unknown,yoga,0.9498806682577564
198,xception,Unknown,yoga,0.9713603818615753
199,inceptionv3,Unknown,yoga,0.9594272076372315
200,inceptionv4,Unknown,yoga,0.9713603818615753
201,nasnet_4a1056,Unknown,yoga,0.9713603818615753
202,spnasnet,Unknown,yoga,0.9427207637231504
203,efficientnet_b0,Unknown,yoga,0.9665871121718376
204,efficientnet_b1,Unknown,yoga,0.9785202863961814
205,efficientnet_b0b,Unknown,yoga,0.9618138424821002
206,efficientnet_edge_large_b,Unknown,yoga,0.9594272076372315
207,mixnet_l,Unknown,yoga,0.9665871121718376
208,mobilenet_w1_cub,Unknown,yoga,0.9212410501193318
209,proxylessnas_mobile_cub,Unknown,yoga,0.9522673031026252
210,bninception,Unknown,flower,0.9792429792429792
211,bam_resnet50,Unknown,flower,0.984126984126984
212,alexnet,Unknown,flower,0.9536019536019535
213,zfnet,Unknown,flower,0.9474969474969476
214,vgg19,Unknown,flower,0.9743589743589745
215,resnet10,Unknown,flower,0.9621489621489622
216,resnet18,Unknown,flower,0.9792429792429792
217,resnet20_cifar10,Unknown,flower,0.7557997557997558
218,resnet20_cifar100,Unknown,flower,0.7985347985347986
219,resnet20_svhn,Unknown,flower,0.7216117216117216
220,resnet50,Unknown,flower,0.984126984126984
221,resnet56_cifar10,Unknown,flower,0.8351648351648352
222,resnet56_cifar100,Unknown,flower,0.8095238095238095
223,resnet56_svhn,Unknown,flower,0.7167277167277167
224,resnet101,Unknown,flower,0.9877899877899878
225,preresnet10,Unknown,flower,0.9645909645909646
226,preresnet18,Unknown,flower,0.984126984126984
227,preresnet20_cifar10,Unknown,flower,0.7545787545787546
228,preresnet20_cifar100,Unknown,flower,0.7252747252747253
229,preresnet20_svhn,Unknown,flower,0.7448107448107448
230,preresnet50,Unknown,flower,0.9768009768009768
231,preresnet56_cifar10,Unknown,flower,0.8046398046398047
232,preresnet56_cifar100,Unknown,flower,0.8205128205128205
233,preresnet56_svhn,Unknown,flower,0.746031746031746
234,preresnet101,Unknown,flower,0.984126984126984
235,resnext14_16x4d,Unknown,flower,0.9706959706959708
236,resnext14_32x2d,Unknown,flower,0.971916971916972
237,resnext14_32x4d,Unknown,flower,0.9548229548229548
238,seresnet10,Unknown,flower,0.9755799755799756
239,seresnet18,Unknown,flower,0.9706959706959708
240,seresnet50,Unknown,flower,0.9804639804639804
241,seresnet101,Unknown,flower,0.9865689865689866
242,seresnet56_cifar10,Unknown,flower,0.7875457875457875
243,seresnet56_cifar100,Unknown,flower,0.8144078144078144
244,seresnet56_svhn,Unknown,flower,0.7594627594627594
245,sepreresnet10,Unknown,flower,0.9706959706959708
246,sepreresnet18,Unknown,flower,0.978021978021978
247,seresnext50_32x4d,Unknown,flower,0.9816849816849816
248,senet16,Unknown,flower,0.978021978021978
249,senet28,Unknown,flower,0.9865689865689866
250,resnesta18,Unknown,flower,0.9816849816849816
251,ibn_resnet50,Unknown,flower,0.9804639804639804
252,ibn_densenet121,Unknown,flower,0.9792429792429792
253,airnet50_1x64d_r2,Unknown,flower,0.9853479853479854
254,airnext50_32x4d_r2,Unknown,flower,0.9853479853479854
255,cbam_resnet50,Unknown,flower,0.9816849816849816
256,scnet50,Unknown,flower,0.9768009768009768
257,scnet101,Unknown,flower,0.9816849816849816
258,regnetx002,Unknown,flower,0.9768009768009768
259,regnetx004,Unknown,flower,0.9694749694749696
260,regnetx006,Unknown,flower,0.9743589743589745
261,regnetx008,Unknown,flower,0.9804639804639804
262,regnety002,Unknown,flower,0.9706959706959708
263,regnety004,Unknown,flower,0.967032967032967
